ALink,SName,Lyric,genres,genre_1,genre_2,genre_3
/tori-amos/,Ireland,"Drivin' in my Saab
On my way to Ireland
It's been a long time
It's been a long time
Drivin' with my friends
On my way to Ireland
It's been a long time
It's been a long time

So when I was out
In the desert
And a cowboy
Tried to lasso me
He said your red
And made of clay
A virgin portrait
I let him wake me
But decided not to stay

Next in New York
I fell out with a dragon
Of the white collar kind
But just as ferocious
I remembered Macha
Running faster than the horses
Then an encounter with
A voice that caressed me

Wasn't it you who
Held off a surrender
To one spoiled nun
Who taught you the names
Of the mountains
On the moon
And then a Jesuit
Proceded to arrange your soul
While I prayed
On my knees","alternative, female vocalists, singer-songwriter",alternative,female vocalists,singer-songwriter
/tori-amos/,Little Amsterdam,"Little Amsterdam
Little Amsterdam
in a southern town
hominy get it on the plate girl
Momma keep your head down
Momma it wasn't my bullet

don't take me back to the Range
I'm just commin out of the cell in my brain
girl you got to know these days
which side your on

Momma got shit
she loved a brown man
then she built a bridge in the Sheriff's bed
she'd do anything to save her man
you see her olives are cold pressed
and her best friend is a sun dress
but Momma
it wasn't my bullet

round and a round and a round I go
round and a round this time for keeps
Father only you can save my soul
and playing that organ must count
for something
girl you got to know these days
which side your on
Little Amsterdam
shut down today
they buried her with a
butter bean bouquet
and the Sheriff now can't ride away
like he said into the sunset
and I won't say
he shouldna paid
but Momma
it wasn't my bullet","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Mary,"Mary

everybody wants something from you,
everybody want a piece of mary
lush valley all dressed in green
just ripe for the picking

god i want to get you out of here
you can ride in a pink mustang
when i think of what we've done to you
oh, mary, can you hear me?

growing up isn't always fun
they tore your dress and stole your ribbons
they see you cry, they lick their lips
but butterflies don't belong in nets

oh mary, can you hear me?
mary, you're bleeding
mary, don't be afraid
we're just waking up
and i hear help is on the way

mary, can you hear me?
mary, like jimi said
mary, don't be afraid
'cause even the wind...
even the wind cries your name

everybody wants you, sweetheart
everybody got a dream of glory
las vegas got a pin-up girl
they got her armed as they buy and sell her

rivers of milk are running dry
can't you hear the dolphins crying
what'll we do when our babies scream
fill their mouths with some acid rain

oh mary, can you hear me?
mary, you're bleeding
mary, don't be afraid
we're just waking up
and i hear help is on the way

mary, can you hear me?
mary, like jimi said
mary, don't be afraid
'cause even the wind...
even the wind cries your name

na nay nay nay nay, na na na nay nay
na nay nay nay nay, na na na nay nay, ooh ooh
na nay nay nay nay, na na na nay

oh butterflies don't belong in nets

oh mary, can you hear me?
mary, you're bleeding
mary, don't be afraid
we're just waking up
and i hear help is on the way

mary, can you hear me?
mary, like jimi said
mary, don't be afraid
'cause even the wind...
even the wind cries your name
'cause even the wind cries your name
'cause even the wind cries your name
cries your name...
cries your name...
cries your name...","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Mother,"Go go go go now
out of the nest it's time
Go go go now
Circus girl without a safety net
Here here now don't cry
You raised your hand for the assignment
Tuck those ribbons under your helmet
Be a good soldier

First my left foot then my right behind the other
Pantyhose running in the cold

Mother the car is here
Somebody leave the light on
Green limousine for the redhead dancing dancing girl
And when I dance for him
Somebody leave the light on
ust in just in case I like the dancing
I can remember where I come from

I walked into your dream
and now I've forgotten how to dream my own dream
You are the clever one aren't you
Brides in veils for you
We told you all of our secrets
All but one, and don't you even try
The phone has been disconnected

Dripping with blood and with time and with your advice
Poison me against the moon

Mother the car is here
Somebody leave the light on
Black chariot for the redhead dancing dancing girl
He's gonna change my name
Maybe you'll leave the light on
just in just in case I like the dancing
I can remember where I come from

I escape into your escape into
our very favorite fearscape
It's across the sky and across my heart and I
crossed my legs oh my god

First my left foot then my right behind the other
Breadcrumbs lost under the snow

Oo who mother
Oo mother the car is here
Maybe you'll leave the light on
for the for the for the dancing girl
He's gonna change my name
Maybe you'll leave the light
just in case I like the dancing
I can remember where I come come from

Mother mother mother
","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Night Of Hunters,"Rose so red
This Night of Hunters
Find love instead of their
Blood by your thorn

Rose so red
This Night of Hunters
Find love instead of their
Blood by my thorn

Dark forces are out there gathering
Dark forces are out there gathering
Some hunt for power
Others to invade children's dreams
Some hunt for power
Others to invade children's dreams

They must pay this Night of Hunter
Find love instead of their
Blood by your thorn
Find love instead of their
Blood by my thorn

Holy Father, why not ask forgiveness
From the land
Spirit to spirit
End this suffering
Spirit to spirit
Soul to soul
They stole the dreams
Of the children
By distorting what love means
Watching over
Keeping watch
Watching over
Keeping watch
Watching over
Keeping watch over children's dreams
The ancient Seven Sisters above

Tuning the frequency
Keeping watch
Watching over
Keeping watch over children's dreams
The ancient Seven Sisters above

Changing the frequency
Watching over
Keeping watch
Watching over
Watching over
Keeping watch over children's dreams
The ancient Seven Sisters above

Tuning the frequency
Keeping watch
Watching over
Keeping watch
Holy Father, you ask forgiveness
From the land
Sacred Mother, you are released
From your chains

Spirit to Spirit
The children's dreams
Must now be reclaimed

Spirit to Spirit
Changing the frequency
Spirit to Spirit
Soul to Soul","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Oysters,"So can these shoes take me to
who I was before?
I was stabbing my sticks into
A vulnerable Earth

And I can almost out run you
And those stalking memories
Did I somehow become you
Without realizing?

Found a little patch of Heaven now
So then I'm gonna turn oysters in the sand
'Cause I'm working my way back
I'm working my way back to me again

Not every girl is a pearl
With these ruby slippers
With these ruby slippers
So then I'm gonna turn oysters in the sand
In the sand, in the sand
Turn, turn, turn

And there are forces of conflict
Taking portions of my mind
In whose realm laced with trickery
The fragments I must find

And I can almost out run you
And those stalking memories
Did I somehow become you
Without realizing?

Found a little patch of Heaven now
So then I'm gonna turn oysters in the sand
'Cause I'm working my way back
I'm working my way back to me again

Not every girl is a pearl
With these ruby slippers
With these ruby slippers
So then I'm gonna turn oysters in the sand
In the sand
Turn, turn, turn

Not every girl is popular
Popular, popular

Not every girl is a pearl
With these ruby slippers
With these ruby slippers
So then I 'm gonna turn oysters in the sand
In the sand, in the sand
Turn, turn, turn","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Pretty Good Year,"tears on the sleeve of a man
don't wanna be a boy today
I heard the eternal footman
bought himself a bike to race
and Greg he writes letters
and burns his CDs
they say you were something in those formative years
hold onto nothing as fast as you can
well, still
pretty good year

maybe a bright sandy beach
is gonna take you back
back
back
maybe not
so now you're off
you're gonna see America
well lemme tell you something about America
pretty good year
some things are
melting now
well
what's it gonna take
till my baby's alright

and Greg he writes letters
with his birthday pen
sometimes he's aware that they're drawing him in
Lucy was pretty
your best friend agreed
well, still
pretty good year
","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Real Men,"Take your mind back
I don't know when
Sometime when it always seemed to be just us and them
Girls that wore pink
And boys that wore blue
Boys that always grew up better men than me and you

What's a man now
What's a man mean
Is he rough or is he rugged
Cultural and clean
Now it's all changed It's got to change more
We think it's getting better but nobody's really sure

And so it goes - go round again
But now and then we wonder who the real men are
Mmmhmmmm -- MhmmMmmm
Mmmhmmmm -- MhmmMmmmM
Ahh-ahh-ahhhhh-ah

See the nice boys
Dancing in pairs
Golden earring golden tan
Blow-wave in the hair
Sure they're all straight Straight as a line
All the guys are macho
See their leather shine

You don't want to sound dumb
Don't want to offend
So don't call me a faggot not unless you are a friend
Then if you're tall
Handsome and strong
You can wear the uniform and I could play along

And so it goes - go round again
But now and then we wonder who the real men are
Mmmhmmmm -- MhmmMmmm
Mmmhmmmm -- MhmmMmmmM
Ahh-ahh-ahhhhh-ah

Time to get scared
Time to change plan
Don't know how to treat a lady
Don't know how to be a man
Time to admit
What you call defeat
Cause there's women running past you now and you just drag your feet

Man makes a gun
Man goes to war
Man can kill and man can drink and man can take a whore
Kill all the blacks
Kill all the reds
If there's war between the sexes then there'll be no people left

And so it goes - go round again
But now and then we wonder who the real men are
And so it goes - go round again
But now and then we wonder who the real men are
And so it goes - go round again
But now and then we wonder who the real - men are

(posto por Andréia da Fonseca Rodriguez)","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Scarlet's Walk,"leaving terra
leaving terra

if you're a thought
you will want me
to think you
and I did

invite a Guest
up until you announced
that
you had moved in
""what do you plan to do
with all your freedom?""
the new sheriff said,
quite proud of his
Badge
""you must admit the Land is now
in good hands""

yes, time will tell that
you just life your lamp

I will follow
Her on her path
Scarlet's Walk
through the voilets
just tell your
Gods for me
all debts are off this year
they're free to leave
yes they're free
to leave

leaving terra
leaving terra

there was a time
when i thought that
Her destiny
should've been
mine
Big Brave Nation
but instead her Medicine
now forgotten

""what do you plan to do
with all your stories""
the new sheriff said,
quite proud of his Badge
we'll weave them through
every
rocket's red glare
and
huddled masses
you just lift your lamp

I will follow
Her on her path
Scarlet's Walk
through the violets
just tell your
Gods for me
all debts are off this year
they're free to leave
yes they're free
to leave

leaving terra
leaving terra

if you're a thought
you will want me
to think you
and I did
and I did","female vocalists, alternative, singer-songwriter",female vocalists,alternative,singer-songwriter
/tori-amos/,Sleeps With Butterflies,"Airplanes
Take you away again
Are you flying
Above where we live
Then I look up a glare in my eyes
Are you having regrets about last night
I'm not but I like rivers that rush in
So then I dove in
Is there trouble ahead
For you the acrobat
I won't push you unless you have a net

You say the word
You know I will find you
Or if you need some time
I don't mind
I don't hold on
To the tail of your kite
I'm not like the girls that you've known
But I believe I'm worth coming home to
Kiss away night
This girl only sleeps with butterflies
With butterflies
So go on and fly then boy

Balloons
Look good from on the ground
I fear with pins and needles around
We may fall then stumble
Upon a carousel
It could take us anywhere

You say the word
You know I will find you
Or if you need some time
I don't mind
I don't hold on
To the tail of your kite
I'm not like the girls that you've known
But I believe I'm worth coming home to
Kiss her waiting by this girl
This girl

You say the word
You know I will find you
Or if you need some time
I don't mind
I don't hold on
To the tail of your kite
I'm not like the girls that you've known
But I believe I'm worth coming home to
Kiss away night
This girl only sleeps with butterflies
With butterflies
With butterflies
So go on and fly boy","female vocalists, piano, alternative",female vocalists,piano,alternative
